Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,21,GSW,NBA,SG,66,29,1608,7.1,16.1,.443,2.5,6.0,.414,4.6,10.1,.460,1.8,2.0,.868,0.5,3.1,3.6,3.0,1.1,0.4,2.3,3.5,18.5
2012-13,22,GSW,NBA,SG,82,82,2936,6.2,14.8,.422,2.6,6.4,.401,3.6,8.3,.437,1.6,1.9,.841,0.4,3.4,3.8,2.2,1.1,0.6,1.9,2.9,16.7
2013-14,23,GSW,NBA,SG,81,81,2868,7.0,15.8,.444,2.8,6.7,.417,4.2,9.1,.464,1.8,2.3,.795,0.5,2.6,3.1,2.3,0.9,0.5,1.7,2.9,18.7
2014-15,24,GSW,NBA,SG,77,77,2455,8.8,19.0,.463,3.5,8.0,.439,5.3,11.1,.481,3.3,3.8,.879,0.4,3.2,3.6,3.3,1.3,0.9,2.2,1.8,24.5
2015-16,25,GSW,NBA,SG,80,80,2666,8.8,18.7,.470,3.7,8.8,.425,5.1,9.9,.510,2.6,3.0,.873,0.5,3.7,4.1,2.2,0.8,0.7,1.9,2.1,23.9
