Name,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
David Lee,2012-13,29,GSW,NBA,PF,79,79,2907,7.5,14.4,.519,0.0,0.0,.000,7.5,14.3,.521,3.2,4.0,.797,2.7,8.3,11.0,3.5,0.8,0.3,2.6,3.0,18.1
David Lee,2013-14,30,GSW,NBA,PF,69,67,2288,8.1,15.4,.523,0.0,0.0,.000,8.1,15.4,.523,3.6,4.7,.780,2.9,7.3,10.1,2.3,0.8,0.4,2.4,3.2,19.8
David Lee,2014-15,31,GSW,NBA,PF,49,4,904,6.4,12.5,.511,0.0,0.1,.000,6.4,12.4,.514,2.7,4.1,.654,3.2,7.0,10.2,3.4,1.2,1.0,2.0,3.3,15.5
Ognjen Kuzmic,2013-14,23,GSW,NBA,C,21,0,92,2.0,5.1,.385,0.0,0.0,,2.0,5.1,.385,2.0,4.3,.455,3.9,4.3,8.2,0.8,1.2,1.6,3.9,6.7,5.9
Ognjen Kuzmic,2014-15,24,GSW,NBA,C,16,0,72,4.0,6.0,.667,0.0,0.0,,4.0,6.0,.667,2.0,2.0,1.000,3.5,5.0,8.5,3.0,1.0,0.5,2.5,6.5,10.0
Kent Bazemore,2012-13,23,GSW,NBA,SG,61,0,267,5.8,15.6,.371,1.3,4.6,.294,4.4,11.1,.402,3.6,5.9,.614,0.7,2.3,3.0,3.0,2.3,0.5,2.4,3.6,16.6
Kent Bazemore,2013-14,24,GSW,NBA,SG,44,0,268,4.8,13.0,.371,1.3,5.2,.256,3.5,7.8,.448,2.6,4.8,.528,0.7,4.7,5.4,2.7,1.6,0.8,3.8,5.6,13.6
Steve Blake,2013-14,33,GSW,NBA,PG,28,1,607,2.7,7.1,.375,1.6,4.7,.342,1.1,2.4,.439,0.3,0.5,.625,0.3,3.0,3.3,6.0,1.2,0.4,1.8,2.1,7.2
Jordan Crawford,2013-14,25,GSW,NBA,SG,42,0,661,7.6,18.1,.417,2.2,7.0,.313,5.4,11.2,.483,2.0,2.3,.837,0.5,2.9,3.4,3.1,0.7,0.1,2.7,2.4,19.3
Jermaine O'Neal,2013-14,35,GSW,NBA,PF,44,13,883,5.1,10.1,.504,0.0,0.0,,5.1,10.1,.504,4.0,5.4,.750,3.5,6.4,9.9,1.0,0.6,1.6,2.1,4.2,14.2
Andris Biedrins,2009-10,23,GSW,NBA,C,33,29,763,3.8,6.5,.591,0.0,0.0,,3.8,6.5,.591,0.2,1.2,.160,3.0,9.2,12.2,2.7,0.9,2.1,1.5,5.5,7.8
Andris Biedrins,2010-11,24,GSW,NBA,C,59,55,1397,3.7,6.9,.534,0.0,0.0,,3.7,6.9,.534,0.3,0.8,.323,3.7,7.2,11.0,1.5,1.3,1.3,1.5,5.1,7.6
Andris Biedrins,2011-12,25,GSW,NBA,C,47,35,739,1.9,3.1,.609,0.0,0.0,,1.9,3.1,.609,0.0,0.4,.111,2.2,6.4,8.6,0.8,1.1,2.2,0.7,6.1,3.8
Andris Biedrins,2012-13,26,GSW,NBA,C,53,9,495,0.7,1.5,.476,0.0,0.0,,0.7,1.5,.476,0.3,0.9,.308,2.5,8.7,11.1,1.0,1.1,3.1,1.0,7.3,1.7
Jarrett Jack,2012-13,29,GSW,NBA,SG,79,4,2349,5.9,13.1,.452,1.3,3.1,.404,4.7,10.0,.466,2.6,3.0,.843,0.3,3.4,3.7,6.7,0.9,0.2,2.4,2.1,15.7
Richard Jefferson,2011-12,31,GSW,NBA,SF,22,3,580,4.4,10.5,.420,2.0,4.9,.418,2.4,5.6,.422,1.5,2.2,.686,0.5,4.2,4.7,2.0,0.7,0.4,1.1,2.4,12.4
Richard Jefferson,2012-13,32,GSW,NBA,SF,56,1,568,3.9,8.6,.456,0.9,2.9,.311,3.0,5.8,.527,2.4,3.4,.717,0.3,5.0,5.3,2.0,0.9,0.4,1.5,2.9,11.2
Charles Jenkins,2011-12,22,GSW,NBA,PG,51,28,893,5.2,11.7,.447,0.1,0.8,.150,5.1,10.9,.469,1.4,1.6,.872,0.3,2.4,2.7,6.9,1.3,0.2,2.4,3.4,12.0
Charles Jenkins,2012-13,23,GSW,NBA,SG,47,0,291,4.3,10.3,.422,0.1,0.2,.500,4.2,10.0,.420,1.2,2.2,.556,0.6,2.0,2.6,3.5,1.1,0.1,2.4,2.2,10.0
Carl Landry,2012-13,29,GSW,NBA,PF,81,2,1876,6.2,11.6,.540,0.0,0.1,.333,6.2,11.5,.541,4.3,5.2,.817,3.5,5.8,9.3,1.2,0.7,0.6,2.2,3.6,16.8
Jeremy Tyler,2011-12,20,GSW,NBA,C,42,23,568,5.6,13.2,.421,0.0,0.1,.000,5.6,13.2,.423,1.8,3.3,.558,3.4,5.5,8.9,1.0,1.0,1.3,2.3,5.3,13.0
Jeremy Tyler,2012-13,21,GSW,NBA,C,20,0,63,5.1,13.7,.375,0.0,0.0,,5.1,13.7,.375,2.3,3.4,.667,3.4,6.3,9.7,0.6,0.6,1.1,3.4,5.7,12.6
Monta Ellis,2009-10,24,GSW,NBA,SG,64,64,2647,8.6,19.1,.449,1.0,3.1,.338,7.5,16.0,.470,4.0,5.3,.753,0.6,2.9,3.5,4.6,1.9,0.3,3.3,2.6,22.2
Monta Ellis,2010-11,25,GSW,NBA,SG,80,80,3227,8.1,18.0,.451,1.5,4.2,.361,6.6,13.7,.478,3.8,4.8,.789,0.5,2.6,3.1,5.0,1.9,0.3,2.8,2.3,21.5
Monta Ellis,2011-12,26,GSW,NBA,SG,37,37,1365,8.0,18.6,.433,1.3,4.1,.321,6.7,14.5,.465,4.0,4.9,.812,0.4,2.9,3.3,5.9,1.5,0.3,3.2,2.2,21.4
Dominic McGuire,2011-12,26,GSW,NBA,PF,64,6,1127,3.0,6.7,.448,0.0,0.1,.000,3.0,6.6,.456,1.2,1.7,.736,2.3,5.5,7.9,3.5,1.4,1.1,1.8,3.3,7.3
Mikki Moore,2009-10,34,GSW,NBA,C,23,20,406,4.8,8.0,.600,0.0,0.0,,4.8,8.0,.600,0.6,1.0,.636,2.3,3.8,6.1,3.2,0.4,1.2,1.9,5.3,10.2
Mikki Moore,2011-12,36,GSW,NBA,C,7,0,118,2.7,6.1,.450,0.0,0.0,,2.7,6.1,.450,1.8,2.1,.857,2.1,4.6,6.7,1.5,0.9,0.9,2.1,7.3,7.3
Nate Robinson,2011-12,27,GSW,NBA,PG,51,9,1192,6.2,14.6,.424,2.0,5.5,.365,4.2,9.2,.459,2.8,3.4,.832,0.5,2.6,3.0,7.0,1.8,0.1,2.3,3.6,17.2
Ekpe Udoh,2010-11,23,GSW,NBA,C,58,18,1030,3.4,7.8,.437,0.0,0.0,,3.4,7.8,.437,1.5,2.2,.656,2.8,3.5,6.3,1.4,0.8,3.0,1.7,5.0,8.2
Ekpe Udoh,2011-12,24,GSW,NBA,C,38,6,827,3.6,8.1,.443,0.0,0.0,,3.6,8.1,.443,2.0,2.8,.719,2.5,3.9,6.4,1.3,1.1,2.8,1.5,5.0,9.1
Dorell Wright,2010-11,25,GSW,NBA,SF,82,82,3147,5.5,13.1,.423,2.2,5.9,.376,3.3,7.2,.462,2.1,2.6,.789,1.0,3.9,4.9,2.8,1.4,0.7,1.5,2.0,15.4
Dorell Wright,2011-12,26,GSW,NBA,SF,61,61,1650,4.8,11.5,.422,2.3,6.4,.360,2.6,5.1,.500,1.7,2.1,.816,1.3,4.8,6.1,2.1,1.3,0.6,1.1,2.1,13.7
Lou Amundson,2010-11,28,GSW,NBA,PF,46,7,691,4.3,9.5,.454,0.0,0.0,,4.3,9.5,.454,1.8,4.5,.391,4.2,5.4,9.6,0.9,0.7,1.7,1.3,4.5,10.4
Rodney Carney,2010-11,26,GSW,NBA,SF,25,1,331,4.9,11.6,.421,1.8,4.0,.459,3.0,7.6,.400,2.0,2.9,.667,1.3,3.8,5.1,1.2,1.2,0.5,1.7,3.6,13.6
Dan Gadzuric,2010-11,32,GSW,NBA,C,28,4,297,4.5,10.7,.420,0.0,0.1,.000,4.5,10.5,.425,0.6,1.7,.357,6.4,4.0,10.4,1.3,1.2,2.2,2.5,7.6,9.6
Acie Law,2009-10,25,GSW,NBA,PG,5,0,66,4.9,7.6,.643,0.5,1.6,.333,4.4,6.0,.727,6.5,8.2,.800,0.0,1.1,1.1,3.8,3.3,0.0,1.1,2.7,16.9
Acie Law,2010-11,26,GSW,NBA,PG,40,0,632,4.4,9.5,.467,0.3,1.7,.200,4.1,7.8,.526,2.3,3.1,.759,0.5,2.4,3.0,4.0,1.6,0.0,1.9,2.9,11.6
Jeremy Lin,2010-11,22,GSW,NBA,PG,29,0,285,3.5,9.1,.389,0.1,0.6,.200,3.4,8.5,.403,2.4,3.2,.760,1.5,2.8,4.3,5.3,4.2,1.1,2.3,3.9,9.6
