Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,24,GSW,NBA,SG,64,64,2647,8.6,19.1,.449,1.0,3.1,.338,7.5,16.0,.470,4.0,5.3,.753,0.6,2.9,3.5,4.6,1.9,0.3,3.3,2.6,22.2
2010-11,25,GSW,NBA,SG,80,80,3227,8.1,18.0,.451,1.5,4.2,.361,6.6,13.7,.478,3.8,4.8,.789,0.5,2.6,3.1,5.0,1.9,0.3,2.8,2.3,21.5
2011-12,26,GSW,NBA,SG,37,37,1365,8.0,18.6,.433,1.3,4.1,.321,6.7,14.5,.465,4.0,4.9,.812,0.4,2.9,3.3,5.9,1.5,0.3,3.2,2.2,21.4
