Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,27,GSW,NBA,PF,73,73,2634,6.8,13.4,.507,0.0,0.0,.333,6.8,13.3,.508,2.9,3.6,.787,3.0,6.8,9.8,3.2,1.0,0.4,2.3,2.9,16.4
2011-12,28,GSW,NBA,PF,57,57,2121,7.9,15.6,.503,0.0,0.1,.000,7.9,15.6,.506,3.7,4.8,.782,2.9,6.3,9.3,2.7,0.9,0.4,2.5,3.0,19.5
2012-13,29,GSW,NBA,PF,79,79,2907,7.5,14.4,.519,0.0,0.0,.000,7.5,14.3,.521,3.2,4.0,.797,2.7,8.3,11.0,3.5,0.8,0.3,2.6,3.0,18.1
2013-14,30,GSW,NBA,PF,69,67,2288,8.1,15.4,.523,0.0,0.0,.000,8.1,15.4,.523,3.6,4.7,.780,2.9,7.3,10.1,2.3,0.8,0.4,2.4,3.2,19.8
2014-15,31,GSW,NBA,PF,49,4,904,6.4,12.5,.511,0.0,0.1,.000,6.4,12.4,.514,2.7,4.1,.654,3.2,7.0,10.2,3.4,1.2,1.0,2.0,3.3,15.5
