Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,23,GSW,NBA,C,33,29,763,3.8,6.5,.591,0.0,0.0,,3.8,6.5,.591,0.2,1.2,.160,3.0,9.2,12.2,2.7,0.9,2.1,1.5,5.5,7.8
2010-11,24,GSW,NBA,C,59,55,1397,3.7,6.9,.534,0.0,0.0,,3.7,6.9,.534,0.3,0.8,.323,3.7,7.2,11.0,1.5,1.3,1.3,1.5,5.1,7.6
2011-12,25,GSW,NBA,C,47,35,739,1.9,3.1,.609,0.0,0.0,,1.9,3.1,.609,0.0,0.4,.111,2.2,6.4,8.6,0.8,1.1,2.2,0.7,6.1,3.8
2012-13,26,GSW,NBA,C,53,9,495,0.7,1.5,.476,0.0,0.0,,0.7,1.5,.476,0.3,0.9,.308,2.5,8.7,11.1,1.0,1.1,3.1,1.0,7.3,1.7
