Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2011-12,26,GSW,NBA,SF,65,1,1717,4.9,9.8,.501,2.1,4.6,.452,2.9,5.2,.544,1.4,1.7,.793,0.7,4.6,5.3,1.8,0.7,1.2,1.4,1.3,13.3
2012-13,27,GSW,NBA,SF,2,0,25,8.6,13.0,.667,0.0,2.9,.000,8.6,10.1,.857,2.9,4.3,.667,0.0,1.4,1.4,2.9,0.0,0.0,4.3,7.2,20.2
2014-15,29,GSW,NBA,SG,33,0,271,1.5,7.2,.204,0.4,3.6,.111,1.1,3.6,.296,0.7,1.5,.455,0.5,4.9,5.4,1.6,0.7,1.6,1.5,3.6,4.0
2015-16,30,GSW,NBA,SG,72,25,1055,3.8,8.9,.427,2.2,5.4,.414,1.6,3.5,.447,0.6,1.0,.643,0.7,5.5,6.2,1.9,0.7,0.8,1.1,1.9,10.4
