Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,21,GSW,NBA,PG,80,77,2896,6.6,14.2,.462,2.1,4.7,.437,4.5,9.5,.474,2.2,2.5,.885,0.6,3.8,4.4,5.9,1.9,0.2,3.0,3.1,17.4
2010-11,22,GSW,NBA,PG,74,74,2489,7.3,15.2,.480,2.2,4.9,.442,5.1,10.3,.498,3.1,3.3,.934,0.8,3.4,4.1,6.2,1.6,0.3,3.3,3.4,19.9
2011-12,23,GSW,NBA,PG,26,23,732,7.1,14.6,.490,2.7,6.0,.455,4.4,8.6,.514,1.9,2.3,.809,0.7,3.6,4.3,6.8,1.9,0.4,3.2,3.0,18.8
2012-13,24,GSW,NBA,PG,78,78,2983,7.6,16.8,.451,3.3,7.2,.453,4.3,9.5,.449,3.2,3.5,.900,0.7,3.1,3.8,6.5,1.5,0.1,2.9,2.4,21.6
2013-14,25,GSW,NBA,PG,78,78,2846,8.2,17.5,.471,3.3,7.8,.424,4.9,9.7,.509,3.9,4.4,.885,0.6,3.6,4.2,8.4,1.6,0.2,3.7,2.5,23.7
2014-15,26,GSW,NBA,PG,80,80,2613,9.0,18.5,.487,3.9,8.9,.443,5.1,9.6,.528,4.2,4.6,.914,0.8,3.9,4.7,8.5,2.2,0.2,3.4,2.2,26.2
2015-16,27,GSW,NBA,PG,79,79,2700,10.7,21.3,.504,5.4,11.8,.454,5.4,9.5,.566,4.8,5.3,.908,0.9,4.8,5.7,7.0,2.3,0.2,3.5,2.1,31.7
