Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,34,GSW,NBA,C,23,20,406,4.8,8.0,.600,0.0,0.0,,4.8,8.0,.600,0.6,1.0,.636,2.3,3.8,6.1,3.2,0.4,1.2,1.9,5.3,10.2
2011-12,36,GSW,NBA,C,7,0,118,2.7,6.1,.450,0.0,0.0,,2.7,6.1,.450,1.8,2.1,.857,2.1,4.6,6.7,1.5,0.9,0.9,2.1,7.3,7.3
