Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,28,GSW,NBA,C,32,32,786,3.8,8.4,.451,0.0,0.0,1.000,3.8,8.4,.448,0.9,1.7,.500,3.1,8.1,11.2,3.1,0.9,2.5,1.6,3.9,8.5
2013-14,29,GSW,NBA,C,67,67,1769,4.8,7.6,.627,0.0,0.0,,4.8,7.6,.627,0.4,1.3,.344,3.7,10.0,13.7,2.3,1.0,2.5,2.0,4.3,10.0
2014-15,30,GSW,NBA,C,67,65,1583,4.5,8.1,.563,0.0,0.0,,4.5,8.1,.563,0.5,1.0,.524,3.2,9.1,12.3,4.1,0.9,2.6,2.4,4.3,9.6
2015-16,31,GSW,NBA,C,70,66,1451,4.3,6.9,.627,0.0,0.0,1.000,4.3,6.9,.626,0.6,1.2,.480,3.0,9.2,12.2,4.0,0.8,2.8,2.1,5.5,9.3
