,GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG
109,Shot Chart Detail,0021500524,251,101106,Andrew Bogut,1610612744,Golden State Warriors,2,1,6,Missed Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-6,105,1,0
110,Shot Chart Detail,0021500524,255,101106,Andrew Bogut,1610612744,Golden State Warriors,2,0,53,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
111,Shot Chart Detail,0021500524,300,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,8,Made Shot,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
112,Shot Chart Detail,0021500548,210,101106,Andrew Bogut,1610612744,Golden State Warriors,2,4,32,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
113,Shot Chart Detail,0021500548,340,101106,Andrew Bogut,1610612744,Golden State Warriors,3,7,38,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-19,7,1,1
114,Shot Chart Detail,0021500556,308,101106,Andrew Bogut,1610612744,Golden State Warriors,3,9,2,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,10,8,1,1
115,Shot Chart Detail,0021500556,340,101106,Andrew Bogut,1610612744,Golden State Warriors,3,6,30,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,25,61,1,0
116,Shot Chart Detail,0021500556,501,101106,Andrew Bogut,1610612744,Golden State Warriors,4,4,38,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,9,1,0
117,Shot Chart Detail,0021500556,503,101106,Andrew Bogut,1610612744,Golden State Warriors,4,4,37,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,16,9,1,0
118,Shot Chart Detail,0021500556,505,101106,Andrew Bogut,1610612744,Golden State Warriors,4,4,37,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-10,5,1,0
119,Shot Chart Detail,0021500568,3,101106,Andrew Bogut,1610612744,Golden State Warriors,1,11,19,Missed Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-43,100,1,0
120,Shot Chart Detail,0021500568,7,101106,Andrew Bogut,1610612744,Golden State Warriors,1,10,53,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,0,1,1
121,Shot Chart Detail,0021500568,155,101106,Andrew Bogut,1610612744,Golden State Warriors,2,7,50,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,6,82,1,1
122,Shot Chart Detail,0021500568,173,101106,Andrew Bogut,1610612744,Golden State Warriors,2,6,55,Made Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-7,23,1,1
123,Shot Chart Detail,0021500568,339,101106,Andrew Bogut,1610612744,Golden State Warriors,3,4,48,Made Shot,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-30,51,1,1
124,Shot Chart Detail,0021500583,50,101106,Andrew Bogut,1610612744,Golden State Warriors,1,7,35,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,28,51,1,1
125,Shot Chart Detail,0021500583,53,101106,Andrew Bogut,1610612744,Golden State Warriors,1,7,3,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,1,1,1
126,Shot Chart Detail,0021500583,222,101106,Andrew Bogut,1610612744,Golden State Warriors,2,7,8,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-19,2,1,1
127,Shot Chart Detail,0021500583,242,101106,Andrew Bogut,1610612744,Golden State Warriors,2,5,1,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,48,92,1,1
128,Shot Chart Detail,0021500583,294,101106,Andrew Bogut,1610612744,Golden State Warriors,3,11,27,Made Shot,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-32,47,1,1
129,Shot Chart Detail,0021500583,336,101106,Andrew Bogut,1610612744,Golden State Warriors,3,6,34,Missed Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,12,47,1,0
130,Shot Chart Detail,0021500583,495,101106,Andrew Bogut,1610612744,Golden State Warriors,4,7,18,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,2,1,1
131,Shot Chart Detail,0021500583,543,101106,Andrew Bogut,1610612744,Golden State Warriors,4,2,5,Made Shot,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,11,1,1
132,Shot Chart Detail,0021500592,3,101106,Andrew Bogut,1610612744,Golden State Warriors,1,11,45,Made Shot,Putback Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-12,11,1,1
