Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2012-13,23,GSW,NBA,SG,61,0,267,5.8,15.6,.371,1.3,4.6,.294,4.4,11.1,.402,3.6,5.9,.614,0.7,2.3,3.0,3.0,2.3,0.5,2.4,3.6,16.6
2013-14,24,GSW,NBA,SG,44,0,268,4.8,13.0,.371,1.3,5.2,.256,3.5,7.8,.448,2.6,4.8,.528,0.7,4.7,5.4,2.7,1.6,0.8,3.8,5.6,13.6
