Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2013-14,26,GSW,NBA,C,79,3,982,7.1,16.2,.441,0.3,1.1,.258,6.9,15.1,.455,4.0,4.9,.821,3.7,6.9,10.6,1.2,0.4,1.2,2.4,5.4,18.6
2014-15,27,GSW,NBA,PF,76,9,1207,9.5,19.3,.492,0.1,0.5,.278,9.3,18.7,.498,4.5,5.3,.843,3.3,6.4,9.7,2.1,0.6,1.0,2.4,5.6,23.6
2015-16,28,GSW,NBA,PF,72,0,832,8.5,19.7,.432,1.0,2.7,.387,7.5,17.0,.439,4.1,4.9,.825,3.3,7.0,10.3,2.6,0.8,1.5,2.9,5.1,22.2
